,X,Y,Z,W,X.1,Y.1,Z.1,Frame number
129,0.5846,0.655799,0.396994,-0.265642,-1.026631,0.41354,1.089552,1233
130,0.584164,0.653317,0.400081,-0.268077,-1.02666,0.413442,1.089508,1233
131,0.584087,0.653329,0.400118,-0.268159,-1.026661,0.413452,1.089512,1266
132,0.584015,0.652655,0.401087,-0.26851,-1.026689,0.413424,1.089518,1266
133,0.584081,0.653271,0.400231,-0.268145,-1.02666,0.413436,1.089523,1266
134,0.584089,0.653946,0.399623,-0.267387,-1.026658,0.41346,1.089551,1266
135,0.584144,0.653609,0.399826,-0.267789,-1.026657,0.413446,1.089521,1266
136,0.583975,0.653082,0.400498,-0.268437,-1.026667,0.413438,1.089505,1266
137,0.584014,0.652506,0.401064,-0.268907,-1.026691,0.4134,1.089485,1266
138,0.584255,0.653792,0.399528,-0.267542,-1.026655,0.413453,1.08952,1300
139,0.584317,0.653681,0.399583,-0.267597,-1.026651,0.413458,1.089514,1300
140,0.584009,0.652919,0.400759,-0.268371,-1.026662,0.413418,1.089531,1300
141,0.584186,0.654039,0.39939,-0.267298,-1.026652,0.413471,1.089546,1300
142,0.584095,0.652858,0.400679,-0.268452,-1.026671,0.413416,1.089496,1300
143,0.581669,0.64996,0.406141,-0.272513,-1.026618,0.41347,1.089539,1300
144,0.581615,0.64962,0.406502,-0.272898,-1.026631,0.413467,1.089529,1333
145,0.581874,0.64992,0.405927,-0.272487,-1.026646,0.413452,1.089523,1333
146,0.58333,0.652294,0.40212,-0.269331,-1.02666,0.413447,1.089542,1333
147,0.583665,0.653108,0.400797,-0.268601,-1.026671,0.413471,1.089534,1333
148,0.584035,0.653156,0.400446,-0.268204,-1.026695,0.413436,1.089533,1333
149,0.584456,0.654131,0.398938,-0.267155,-1.026706,0.413446,1.089544,1333
150,0.58441,0.653033,0.40021,-0.268038,-1.026753,0.413411,1.089518,1333
151,0.584428,0.653908,0.399113,-0.267502,-1.026699,0.413456,1.089515,1366
152,0.5845,0.652845,0.400243,-0.268251,-1.026721,0.413381,1.089489,1366
153,0.584714,0.654243,0.39843,-0.267075,-1.026709,0.413437,1.089512,1366
154,0.584872,0.654525,0.398046,-0.266612,-1.026699,0.413443,1.089511,1366
